date,actor1,actor2,event_code,goldstein,mentions,is_military,is_supply,is_diplomatic,url
2026-09-18,SAMSUNG,MOTOROLA,111,-2.0,5,False,False,False,https://www.mactech.com/2026/09/17/iphone-shipments-in-brazil-grow-19-year-over-year/
2026-09-18,LOUISIANA,HYUNDAI,071,7.4,10,False,True,False,https://www.wbrz.com/news/residents-and-activists-still-fighting-the-ascension-parish-hyundai-steel-mill-after-bond-approval
2026-09-18,UNITED STATES,HYUNDAI,010,0.0,2,False,False,False,https://www.wbrz.com/news/residents-and-activists-still-fighting-the-ascension-parish-hyundai-steel-mill-after-bond-approval
2026-09-18,NEW YORK,SOUTH KOREA,040,1.0,2,False,False,False,https://www.fnnews.com/news/202609180932432589
2026-09-18,UNITED STATES,SOUTH KOREA,040,1.0,4,False,False,False,https://www.fnnews.com/news/202609180932432589
2026-09-18,SOUTH KOREA,NEW YORK,040,1.0,2,False,False,False,https://www.fnnews.com/news/202609180932432589
2026-09-18,SOUTH KOREA,UNITED STATES,040,1.0,4,False,False,False,https://www.fnnews.com/news/202609180932432589
2026-09-18,SOUTH KOREA,NEW YORK,040,1.0,2,False,False,False,https://www.fnnews.com/news/202609180932432589
2026-09-18,NEW YORK,SOUTH KOREA,040,1.0,2,False,False,False,https://www.fnnews.com/news/202609180932432589
2026-09-18,CHUNGNAM,CHUNGCHEONG,070,7.0,10,False,False,False,https://biz.heraldcorp.com/article/10877924
2026-09-18,SOUTH KOREA,UNITED STATES,040,1.0,2,False,False,False,https://womannews.net/detail.php?number=455531&thread=22r12r01
2026-09-18,INCHEON,UNITED STATES,050,3.5,10,False,False,False,https://womannews.net/detail.php?number=455531&thread=22r12r01
2026-09-18,UNITED STATES,SOUTH KOREA,040,1.0,2,False,False,False,https://womannews.net/detail.php?number=455531&thread=22r12r01
2026-09-18,UNITED STATES,INCHEON,040,1.0,8,False,False,False,https://womannews.net/detail.php?number=455531&thread=22r12r01
2026-09-18,INCHEON,UNITED STATES,040,1.0,8,False,False,False,https://womannews.net/detail.php?number=455531&thread=22r12r01
2026-09-18,REPUBLIC OF KOREA,HUBEI,042,1.9,5,False,False,False,http://en.ce.cn/main/latest/202609/t20260918_3221793.shtml
2026-09-18,HUBEI,REPUBLIC OF KOREA,043,2.8,5,False,False,False,http://en.ce.cn/main/latest/202609/t20260918_3221793.shtml
2026-09-18,UNITED STATES,SOUTH KOREA,070,7.0,10,False,False,False,https://www.kmib.co.kr/article/view.asp?arcid=9000013187&code=11151600&sid1=eco
2026-09-18,CHINA,SOUTH KOREA,051,3.4,2,False,False,False,https://biz.heraldcorp.com/article/10877869
2026-09-18,CHINA,SOUTH KOREA,051,3.4,6,False,False,False,https://biz.heraldcorp.com/article/10877869
