date,actor1,actor2,event_code,goldstein,mentions,is_military,is_supply,is_diplomatic,url
2026-09-17,NORTH KOREA,SOUTH KOREAN,111,-2.0,1,True,False,True,http://www.econotimes.com/North-Korea-Vows-to-Expand-Nuclear-Arsenal-Amid-US-Led-Military-Buildup-1752287
2026-09-17,SOUTH KOREA,THE US,046,7.0,6,,False,,https://www.hani.co.kr/arti/english_edition/english_editorials/1278311.html
2026-09-17,THE US,SOUTH KOREA,046,7.0,6,,False,,https://www.hani.co.kr/arti/english_edition/english_editorials/1278311.html
2026-09-17,SOUTH KOREA,THE US,046,7.0,2,,False,,https://www.hani.co.kr/arti/english_edition/english_editorials/1278311.html
2026-09-17,THE US,SOUTH KOREA,046,7.0,2,,False,,https://www.hani.co.kr/arti/english_edition/english_editorials/1278311.html
2026-09-17,NORTH KOREA,SOUTH KOREA,010,0.0,2,,False,,https://www.shorouknews.com/news/view.aspx?cdate=17092026&id=891cfb15-b174-479c-b87e-6ecaa64b175a
2026-09-17,SOUTH KOREA,CHINA,046,7.0,4,,False,,https://www.hani.co.kr/arti/international/international_general/1278293.html
2026-09-17,CHINA,SOUTH KOREA,046,7.0,4,,False,,https://www.hani.co.kr/arti/international/international_general/1278293.html
2026-09-17,GYEONGGI,TOKYO,051,3.4,10,,False,,https://www.insight.co.kr/news/574061
2026-09-17,NORTH KOREA,SOUTH KOREA,070,7.0,2,,False,,https://www.stiripesurse.ro/coreea-de-nord-declara-ireversibil-statutul-sau-de-tara-nucleara_3920814
2026-09-17,SOUTH KOREA,NORTH KOREA,110,-2.0,1,,False,,https://www.koreaherald.com/article/10877206
2026-09-17,SOUTH KOREA,NORTH KOREA,110,-2.0,1,,False,,https://www.koreaherald.com/article/10877206
2026-09-17,PYONGYANG,SOUTH KOREA,050,3.5,2,,False,,https://informer.rs/planeta/vesti/1151456/severna-koreja-amerika-nuklearno-oruzje
2026-09-17,JAPANESE,SOUTH KOREA,193,-10.0,10,,False,,https://www.edaily.co.kr/News/Read?newsId=03991766645581104&mediaCodeNo=257
2026-09-17,SOUTH KOREA,CHINESE,051,3.4,2,,False,,https://www.koreaherald.com/article/10876994
2026-09-17,SOUTH KOREA,NORTH KOREAN,051,3.4,2,,False,,https://www.koreaherald.com/article/10876994
2026-09-17,SEOUL,NORTH KOREAN,046,7.0,4,,False,,https://www.koreaherald.com/article/10876994
2026-09-17,SEOUL,NORTH KOREAN,046,7.0,1,,False,,https://www.koreaherald.com/article/10876994
2026-09-17,NORTH KOREAN,SEOUL,046,7.0,1,,False,,https://www.koreaherald.com/article/10876994
2026-09-17,SOUTH KOREA,RUSSIAN,051,3.4,2,,False,,https://www.koreaherald.com/article/10876994
2026-09-17,SOUTH KOREAN,RUSSIA,154,-7.2,1,,False,,https://www.koreaherald.com/article/10876994
2026-09-17,NORTH KOREAN,SEOUL,046,7.0,4,,False,,https://www.koreaherald.com/article/10876994
2026-09-17,SOUTH KOREA,RUSSIAN,051,3.4,2,,False,,https://www.koreaherald.com/article/10876994
2026-09-17,SOUTH KOREA,CHINESE,051,3.4,2,,False,,https://www.koreaherald.com/article/10876994
2026-09-17,SOUTH KOREA,NORTH KOREAN,051,3.4,2,,False,,https://www.koreaherald.com/article/10876994
2026-09-17,SOUTH KOREAN,RUSSIA,154,-7.2,1,,False,,https://www.koreaherald.com/article/10876994
2026-09-17,SOUTH KOREA,NORTH KOREA,090,-2.0,5,,False,,https://www.straitstimes.com/asia/east-asia/russia-taps-north-korean-workers-to-make-drones-under-fake-visas
2026-09-17,JAPAN,SOUTH KOREA,043,2.8,10,,False,,https://world.kbs.co.kr/service/news_view.htm?lang=s&Seq_Code=99419
2026-09-17,NORTH KOREA,SOUTH KOREA,070,7.0,2,,False,,https://www.bbc.com/ukrainian/articles/cqz0znxpdyrzo
2026-09-17,NORTH KOREA,SOUTH KOREA,017,0.0,1,,False,,https://www.bbc.com/ukrainian/articles/cqz0znxpdyrzo
2026-09-17,SOUTH KOREA,RUSSIA,060,6.0,2,,False,,https://www.bbc.com/ukrainian/articles/cqz0znxpdyrzo
2026-09-17,SOUTH KOREA,RUSSIA,060,6.0,2,,False,,https://www.bbc.com/ukrainian/articles/cqz0znxpdyrzo
2026-09-17,SOUTH KOREA,RUSSIA,190,-10.0,4,,False,,https://www.bbc.com/ukrainian/articles/cqz0znxpdyrzo
2026-09-17,SOUTH KOREA,RUSSIA,0332,5.2,4,,False,,https://www.bbc.com/ukrainian/articles/cqz0znxpdyrzo
2026-09-17,SOUTH KOREA,RUSSIA,072,8.3,2,,False,,https://www.bbc.com/ukrainian/articles/cqz0znxpdyrzo
2026-09-17,SOUTH KOREA,RUSSIA,072,8.3,2,,False,,https://www.bbc.com/ukrainian/articles/cqz0znxpdyrzo
2026-09-17,SOUTH KOREA,CHINA,017,0.0,2,,False,,https://www.bbc.com/ukrainian/articles/cqz0znxpdyrzo
2026-09-17,SOUTH KOREA,CHINA,051,3.4,2,,False,,https://www.bbc.com/ukrainian/articles/cqz0znxpdyrzo
2026-09-17,SOUTH KOREA,CHINA,017,0.0,2,,False,,https://www.bbc.com/ukrainian/articles/cqz0znxpdyrzo
2026-09-17,SOUTH KOREA,CHINA,051,3.4,2,,False,,https://www.bbc.com/ukrainian/articles/cqz0znxpdyrzo
2026-09-17,NORTH KOREA,SOUTH KOREA,017,0.0,1,,False,,https://www.bbc.com/ukrainian/articles/cqz0znxpdyrzo
