date,actor1,actor2,event_code,goldstein,mentions,is_military,is_supply,is_diplomatic,url
2026-09-19,WASHINGTON,SOUTH KOREA,010,0.0,8,False,False,False,https://www.hani.co.kr/arti/international/america/1278575.html
2026-09-19,WASHINGTON,SOUTH KOREA,010,0.0,2,False,False,False,https://www.hani.co.kr/arti/international/america/1278575.html
2026-09-19,SOUTH KOREA,NORTH KOREA,057,8.0,3,False,False,False,https://whbl.com/2026/09/18/north-korea-rejects-iaea-resolution-doubles-down-on-nuclear-status-as-kim-jong-un-tours-weapons-plants/
2026-09-19,SEOUL,PYONGYANG,111,-2.0,5,False,False,False,https://whbl.com/2026/09/18/north-korea-rejects-iaea-resolution-doubles-down-on-nuclear-status-as-kim-jong-un-tours-weapons-plants/
2026-09-19,SOUTH KOREA,NORTH KOREA,057,8.0,1,False,False,False,https://whbl.com/2026/09/18/north-korea-rejects-iaea-resolution-doubles-down-on-nuclear-status-as-kim-jong-un-tours-weapons-plants/
2026-09-19,SOUTH KOREA,NORTH KOREA,057,8.0,1,False,False,False,https://whbl.com/2026/09/18/north-korea-rejects-iaea-resolution-doubles-down-on-nuclear-status-as-kim-jong-un-tours-weapons-plants/
