date,actor1,actor2,event_code,goldstein,mentions,is_military,is_supply,is_diplomatic,url
2026-09-26,CHINA,SOUTH KOREA,043,2.8,4,False,False,False,https://english.hani.co.kr/arti/english_edition/e_northkorea/844101.html
2026-09-26,SOUTH KOREA,CHINA,042,1.9,4,False,False,False,https://english.hani.co.kr/arti/english_edition/e_northkorea/844101.html
2026-09-26,SOUTH KOREA,THE US,050,3.5,2,False,False,False,https://english.hani.co.kr/arti/english_edition/e_northkorea/844101.html
2026-09-26,RUSSIA,SOUTH KOREA,050,3.5,8,False,False,True,https://www.etoday.co.kr/news/view/2629372
2026-09-26,RUSSIA,SOUTH KOREA,050,3.5,2,False,False,True,https://www.etoday.co.kr/news/view/2629372
2026-09-26,SOUTH KOREA,XI JINPING,040,1.0,2,False,False,True,https://www.fnnews.com/news/202609260930112199
2026-09-26,SOUTH KOREA,XI JINPING,040,1.0,4,False,False,True,https://www.fnnews.com/news/202609260930112199
2026-09-26,XI JINPING,SOUTH KOREA,040,1.0,4,False,False,True,https://www.fnnews.com/news/202609260930112199
2026-09-26,XI JINPING,SOUTH KOREA,040,1.0,2,False,False,True,https://www.fnnews.com/news/202609260930112199
2026-09-26,SOUTH KOREA,DPRK,020,3.0,10,False,False,True,https://news.mail.ru/politics/72503076/
2026-09-26,SEOUL,NORTH KOREAN,010,0.0,8,False,False,False,https://www.koreaherald.com:443/article/10884614
2026-09-26,SOUTH KOREAN,NORTH KOREAN,036,4.0,4,False,False,False,https://www.koreaherald.com:443/article/10884614
2026-09-26,SOUTH KOREA,NORTH KOREA,036,4.0,1,False,False,False,https://www.koreaherald.com:443/article/10884614
2026-09-26,SOUTH KOREAN,NORTH KOREAN,036,4.0,4,False,False,False,https://www.koreaherald.com:443/article/10884614
2026-09-26,SOUTH KOREA,NORTH KOREA,036,4.0,1,False,False,False,https://www.koreaherald.com:443/article/10884614
2026-09-26,NORTH KOREA,SOUTH KOREAN,036,4.0,2,False,False,False,https://www.koreaherald.com:443/article/10884614
2026-09-26,NORTH KOREA,SOUTH KOREA,036,4.0,1,False,False,False,https://www.koreaherald.com:443/article/10884614
2026-09-26,NORTH KOREAN,SOUTH KOREAN,036,4.0,2,False,False,False,https://www.koreaherald.com:443/article/10884614
2026-09-26,NORTH KOREAN,SOUTH KOREAN,036,4.0,2,False,False,False,https://www.koreaherald.com:443/article/10884614
2026-09-26,NORTH KOREAN,SOUTH KOREAN,036,4.0,1,False,False,False,https://www.koreaherald.com:443/article/10884614
2026-09-26,NORTH KOREA,SOUTH KOREA,036,4.0,1,False,False,False,https://www.koreaherald.com:443/article/10884614
2026-09-26,NORTH KOREAN,SOUTH KOREAN,036,4.0,1,False,False,False,https://www.koreaherald.com:443/article/10884614
2026-09-26,SEOUL,NORTH KOREA,010,0.0,2,False,False,False,https://www.koreaherald.com:443/article/10884614
2026-09-26,SOUTH KOREA,UNITED STATES,042,1.9,3,False,False,False,https://internationaltimes.it/the-cafe-beyond-the-last-village/
2026-09-26,SOUTH KOREA,UNITED STATES,042,1.9,1,False,False,False,https://internationaltimes.it/the-cafe-beyond-the-last-village/
2026-09-26,UNITED STATES,SOUTH KOREA,043,2.8,3,False,False,False,https://internationaltimes.it/the-cafe-beyond-the-last-village/
