date,actor1,actor2,event_code,goldstein,mentions,is_military,is_supply,is_diplomatic,url
2026-09-22,UNITED STATES,SOUTH KOREA,111,-2.0,8,False,False,False,https://biz.heraldcorp.com/article/10881705
2026-09-22,UNITED STATES,SOUTH KOREA,111,-2.0,2,False,False,False,https://biz.heraldcorp.com/article/10881705
2026-09-22,SOUTH KOREA,NORTH KOREA,020,3.0,2,False,False,False,https://isp.netscape.com:443/news/world/story/0001/20260922/2c12c8b88ca37e9dab861af584efa574
2026-09-22,SOUTH KOREA,NORTH KOREA,046,7.0,3,False,False,False,https://isp.netscape.com:443/news/world/story/0001/20260922/2c12c8b88ca37e9dab861af584efa574
2026-09-22,SOUTH KOREA,NORTH KOREA,020,3.0,2,False,False,False,https://isp.netscape.com:443/news/world/story/0001/20260922/2c12c8b88ca37e9dab861af584efa574
2026-09-22,SOUTH KOREA,NORTH KOREA,020,3.0,8,False,False,False,https://isp.netscape.com:443/news/world/story/0001/20260922/2c12c8b88ca37e9dab861af584efa574
2026-09-22,SOUTH KOREA,NORTH KOREA,046,7.0,1,False,False,False,https://isp.netscape.com:443/news/world/story/0001/20260922/2c12c8b88ca37e9dab861af584efa574
2026-09-22,NORTH KOREA,SOUTH KOREA,046,7.0,3,False,False,False,https://isp.netscape.com:443/news/world/story/0001/20260922/2c12c8b88ca37e9dab861af584efa574
2026-09-22,SOUTH KOREA,NORTH KOREA,020,3.0,8,False,False,False,https://isp.netscape.com:443/news/world/story/0001/20260922/2c12c8b88ca37e9dab861af584efa574
2026-09-22,SOUTH KOREA,NORTH KOREA,046,7.0,1,False,False,False,https://isp.netscape.com:443/news/world/story/0001/20260922/2c12c8b88ca37e9dab861af584efa574
2026-09-22,NORTH KOREA,SOUTH KOREA,046,7.0,1,False,False,False,https://isp.netscape.com:443/news/world/story/0001/20260922/2c12c8b88ca37e9dab861af584efa574
2026-09-22,NORTH KOREA,SOUTH KOREA,046,7.0,1,False,False,False,https://isp.netscape.com:443/news/world/story/0001/20260922/2c12c8b88ca37e9dab861af584efa574
2026-09-22,SOUTH KOREA,UNITED STATES,040,1.0,1,False,False,False,https://www.aol.com/articles/south-korea-brief-lawmakers-us-235709000.html
2026-09-22,UNITED STATES,SOUTH KOREA,040,1.0,3,False,False,False,http://www.econotimes.com/South-Korea-to-Brief-Lawmakers-on-350-Billion-US-Investment-Package-1752629
2026-09-22,WASHINGTON,SEOUL,040,1.0,10,False,False,False,http://www.econotimes.com/South-Korea-to-Brief-Lawmakers-on-350-Billion-US-Investment-Package-1752629
2026-09-22,SEOUL,WASHINGTON,040,1.0,2,False,False,False,https://www.aol.com/articles/south-korea-brief-lawmakers-us-235709000.html
2026-09-22,SEOUL,WASHINGTON,040,1.0,10,False,False,False,http://www.econotimes.com/South-Korea-to-Brief-Lawmakers-on-350-Billion-US-Investment-Package-1752629
2026-09-22,NORTH KOREA,SOUTH KOREA,046,7.0,1,False,False,False,https://www.winnipegfreepress.com/world/2026/09/21/south-koreas-lee-plans-to-call-for-phased-denuclearization-of-north-korea-at-un
2026-09-22,SOUTH KOREA,NORTH KOREA,046,7.0,1,False,False,False,https://www.winnipegfreepress.com/world/2026/09/21/south-koreas-lee-plans-to-call-for-phased-denuclearization-of-north-korea-at-un
2026-09-22,SOUTH KOREA,NORTH KOREAN,040,1.0,2,False,False,True,https://www.cp24.com/news/world/2026/09/22/south-koreas-lee-plans-to-call-for-phased-denuclearization-of-north-korea-at-un/
2026-09-22,NORTH KOREAN,SOUTH KOREA,040,1.0,2,False,False,True,https://www.cp24.com/news/world/2026/09/22/south-koreas-lee-plans-to-call-for-phased-denuclearization-of-north-korea-at-un/
2026-09-22,NORTH KOREA,SOUTH KOREA,190,-10.0,6,False,False,False,https://naslovi.net/2026-09-22/politika/severna-koreja-testirala-novi-borbeni-sistem-naoruzanja/42389539
2026-09-22,CHINA,SOUTH KOREA,061,6.4,2,False,True,False,https://www.manitobacooperator.ca/daily/port-of-vancouver-moves-record-volume-of-grain/
2026-09-22,JAPAN,SOUTH KOREA,061,6.4,2,False,True,False,https://www.manitobacooperator.ca/daily/port-of-vancouver-moves-record-volume-of-grain/
2026-09-22,CHINA,SOUTH KOREA,061,6.4,2,False,True,False,https://www.manitobacooperator.ca/daily/port-of-vancouver-moves-record-volume-of-grain/
2026-09-22,JAPAN,SOUTH KOREA,061,6.4,2,False,True,False,https://www.manitobacooperator.ca/daily/port-of-vancouver-moves-record-volume-of-grain/
2026-09-22,CHINA,SOUTH KOREA,111,-2.0,2,False,False,False,https://www.howtogeek.com/a-new-phone-format-war-has-arrived-and-android-is-poised-to-lose/
2026-09-22,CHINA,SOUTH KOREA,061,6.4,6,False,True,False,https://www.manitobacooperator.ca/daily/port-of-vancouver-moves-record-volume-of-grain/
2026-09-22,JAPAN,SOUTH KOREA,061,6.4,6,False,True,False,https://www.manitobacooperator.ca/daily/port-of-vancouver-moves-record-volume-of-grain/
2026-09-22,CHINA,SOUTH KOREA,111,-2.0,3,False,False,False,https://www.howtogeek.com/a-new-phone-format-war-has-arrived-and-android-is-poised-to-lose/
2026-09-22,TOKYO,SEOUL,090,-2.0,2,False,False,False,https://www.ttrweekly.com/site/2026/09/thai-travellers-book-longer-overseas-stays/
2026-09-22,CHINA,SOUTH KOREA,042,1.9,7,False,False,False,https://calgaryherald.com:443/business/exports-up-port-of-vancouver-handles-record-cargo-half-year-mark/wcm/67528060-fe4d-4a21-9a3f-1ada76252da7
2026-09-22,CHINA,SOUTH KOREA,042,1.9,1,False,False,False,https://calgaryherald.com:443/business/exports-up-port-of-vancouver-handles-record-cargo-half-year-mark/wcm/67528060-fe4d-4a21-9a3f-1ada76252da7
2026-09-22,SOUTH KOREA,CHINA,043,2.8,4,False,False,False,https://calgaryherald.com:443/business/exports-up-port-of-vancouver-handles-record-cargo-half-year-mark/wcm/67528060-fe4d-4a21-9a3f-1ada76252da7
2026-09-22,SOUTH KOREA,CHINA,043,2.8,6,False,False,False,https://calgaryherald.com:443/business/exports-up-port-of-vancouver-handles-record-cargo-half-year-mark/wcm/67528060-fe4d-4a21-9a3f-1ada76252da7
2026-09-22,CHINA,SOUTH KOREA,042,1.9,2,False,False,False,https://calgaryherald.com:443/business/exports-up-port-of-vancouver-handles-record-cargo-half-year-mark/wcm/67528060-fe4d-4a21-9a3f-1ada76252da7
2026-09-22,NEW YORK,SOUTH KOREA,030,4.0,2,False,False,False,https://www.channelnewsasia.com/east-asia/us-china-japan-south-korea-taiwan-xi-trump-meeting-6401016
2026-09-22,UNITED STATES,SOUTH KOREA,030,4.0,2,False,False,False,https://www.channelnewsasia.com/east-asia/us-china-japan-south-korea-taiwan-xi-trump-meeting-6401016
2026-09-22,NORTH KOREA,REPUBLIC OF KOREA,051,3.4,2,False,False,False,https://www.channelnewsasia.com/east-asia/us-china-japan-south-korea-taiwan-xi-trump-meeting-6401016
2026-09-22,NEW YORK,SOUTH KOREA,030,4.0,6,False,False,False,https://www.channelnewsasia.com/east-asia/us-china-japan-south-korea-taiwan-xi-trump-meeting-6401016
2026-09-22,NORTH KOREA,REPUBLIC OF KOREA,051,3.4,8,False,False,False,https://www.channelnewsasia.com/east-asia/us-china-japan-south-korea-taiwan-xi-trump-meeting-6401016
